Age,Gender,Height,Weight,CALC,FAVC,FCVC,NCP,SCC,SMOKE,CH2O,family_history_with_overweight,FAF,TUE,CAEC,MTRANS,NObeyesdad,BMI
27.0,1,1.93,102.0,2,1,2.0,1.0,0,0,1.0,1,1.0,0.0,2,3,6,27.383285457327716
29.0,0,1.53,78.0,3,1,2.0,1.0,0,0,2.0,0,0.0,0.0,2,0,2,33.320517749583495
30.0,0,1.71,82.0,3,1,3.0,4.0,0,1,1.0,1,0.0,0.0,1,0,6,28.042816593139772
23.0,0,1.65,70.0,2,0,2.0,1.0,0,0,2.0,1,0.0,0.0,2,3,5,25.71166207529844
22.0,1,1.65,80.0,3,0,2.0,3.0,0,0,2.0,1,3.0,2.0,2,4,6,29.384756657483933
22.0,0,1.65,60.0,2,1,3.0,3.0,0,0,2.0,1,1.0,0.0,2,0,1,22.03856749311295
22.0,0,1.6,82.0,2,1,1.0,1.0,0,0,2.0,1,0.0,2.0,2,3,2,32.03124999999999
21.0,1,1.85,68.0,2,1,2.0,3.0,0,0,2.0,1,0.0,1.0,2,3,1,19.86851716581446
20.0,1,1.6,50.0,3,0,2.0,4.0,0,1,2.0,1,3.0,2.0,1,3,1,19.531249999999996
21.0,1,1.7,65.0,0,1,2.0,1.0,0,0,2.0,1,1.0,2.0,1,4,1,22.49134948096886
23.0,0,1.6,52.0,2,1,2.0,4.0,0,0,2.0,0,2.0,1.0,1,0,1,20.312499999999996
19.0,1,1.75,76.0,2,1,3.0,3.0,1,0,2.0,1,3.0,1.0,2,3,1,24.816326530612244
23.0,1,1.68,70.0,1,1,2.0,3.0,0,0,2.0,0,2.0,2.0,2,4,1,24.801587301587304
29.0,1,1.77,83.0,3,1,1.0,4.0,0,0,3.0,0,0.0,1.0,1,2,5,26.493025631204315
31.0,0,1.58,68.0,2,0,2.0,1.0,0,0,1.0,1,1.0,0.0,2,3,6,27.239224483255885
24.0,0,1.77,76.0,2,0,2.0,3.0,0,0,3.0,0,1.0,1.0,2,4,1,24.258674071946118
22.0,1,1.65,62.0,2,1,2.0,4.0,0,0,2.0,0,2.0,0.0,1,3,1,22.77318640955005
21.0,0,1.5,65.0,2,0,2.0,3.0,0,0,2.0,1,2.0,2.0,2,3,6,28.88888888888889
22.0,0,1.56,49.0,3,1,2.0,3.0,1,0,1.0,0,2.0,0.0,2,4,1,20.134779750164363
21.0,0,1.6,48.0,2,1,2.0,3.0,0,0,1.0,0,1.0,0.0,2,3,1,18.749999999999996
23.0,1,1.65,67.0,2,1,2.0,3.0,0,0,2.0,1,1.0,1.0,2,3,1,24.609733700642796
21.0,0,1.75,88.0,2,1,2.0,3.0,0,0,3.0,1,3.0,0.0,2,3,6,28.73469387755102
21.0,0,1.67,75.0,2,1,2.0,3.0,0,0,2.0,1,1.0,0.0,2,3,5,26.89232313815483
23.0,1,1.68,60.0,3,0,2.0,4.0,0,0,2.0,0,0.0,0.0,1,4,1,21.258503401360546
21.0,0,1.66,64.0,3,1,1.0,3.0,0,0,1.0,1,0.0,0.0,2,3,1,23.225431847873423
21.0,1,1.66,62.0,1,1,2.0,3.0,0,1,2.0,1,1.0,1.0,2,3,1,22.49963710262738
21.0,1,1.81,80.0,3,0,1.0,3.0,0,0,2.0,0,2.0,0.0,3,3,1,24.41927902078691
21.0,0,1.53,65.0,3,0,2.0,3.0,0,0,1.0,1,0.0,1.0,2,3,6,27.76709812465291
21.0,1,1.82,72.0,2,1,1.0,3.0,0,0,3.0,1,2.0,0.0,1,3,1,21.736505252988767
21.0,1,1.75,72.0,2,1,1.0,3.0,0,0,3.0,1,2.0,0.0,1,3,1,23.510204081632654
20.0,0,1.66,60.0,2,0,3.0,3.0,0,0,2.0,1,1.0,0.0,2,4,1,21.773842357381334
21.0,0,1.55,50.0,2,1,2.0,3.0,0,0,2.0,0,0.0,0.0,2,3,1,20.811654526534856
21.0,0,1.61,54.5,2,1,3.0,3.0,0,0,3.0,1,0.0,1.0,2,4,1,21.025423401874924
20.0,0,1.5,44.0,2,1,2.0,3.0,0,0,1.0,0,0.0,0.0,2,0,1,19.555555555555557
23.0,0,1.64,52.0,3,1,3.0,1.0,0,0,2.0,0,2.0,2.0,2,3,1,19.333729922665082
23.0,0,1.63,55.0,3,0,3.0,3.0,1,0,2.0,1,2.0,1.0,3,3,1,20.70081674131507
22.0,0,1.6,55.0,3,0,3.0,4.0,0,0,3.0,0,2.0,0.0,0,3,1,21.484374999999996
23.0,1,1.68,62.0,2,0,2.0,4.0,0,0,2.0,0,0.0,0.0,1,0,1,21.9671201814059
22.0,1,1.7,70.0,2,1,2.0,3.0,0,0,1.0,1,0.0,1.0,2,0,1,24.221453287197235
21.0,1,1.64,65.0,3,0,2.0,3.0,0,0,1.0,1,0.0,1.0,2,3,1,24.167162403331353
17.0,0,1.65,67.0,3,1,3.0,1.0,0,0,2.0,1,1.0,1.0,2,4,1,24.609733700642796
20.0,1,1.76,55.0,3,1,2.0,4.0,0,0,3.0,1,2.0,2.0,2,3,0,17.75568181818182
21.0,0,1.55,49.0,2,1,2.0,3.0,0,0,3.0,1,3.0,1.0,2,3,1,20.39542143600416
20.0,1,1.65,58.0,2,1,2.0,3.0,0,0,2.0,0,3.0,1.0,2,3,1,21.30394857667585
22.0,1,1.67,62.0,2,1,2.0,1.0,0,0,2.0,0,0.0,0.0,3,3,1,22.230987127541326
22.0,1,1.68,55.0,2,1,2.0,3.0,0,0,2.0,1,0.0,2.0,2,0,1,19.48696145124717
21.0,0,1.66,57.0,3,1,2.0,3.0,0,0,1.0,1,1.0,1.0,1,3,1,20.685150239512268
21.0,0,1.62,69.0,3,1,1.0,3.0,0,0,2.0,1,0.0,1.0,1,3,5,26.291723822588015
23.0,1,1.8,90.0,1,1,1.0,3.0,0,0,2.0,1,0.0,2.0,0,3,6,27.777777777777775
23.0,1,1.65,95.0,1,1,2.0,3.0,0,0,2.0,1,0.0,1.0,0,0,2,34.894398530762174
30.0,1,1.76,112.0,1,1,1.0,3.0,1,1,2.0,1,0.0,0.0,3,0,3,36.15702479338843
23.0,1,1.8,60.0,2,0,2.0,3.0,0,0,3.0,1,0.0,1.0,3,3,1,18.51851851851852
23.0,0,1.65,80.0,3,1,2.0,3.0,0,0,2.0,1,0.0,2.0,0,3,6,29.384756657483933
22.0,0,1.67,50.0,2,0,3.0,3.0,1,0,3.0,1,2.0,1.0,3,3,0,17.92821542543655
24.0,0,1.65,60.0,3,0,2.0,3.0,1,0,3.0,1,1.0,0.0,2,3,1,22.03856749311295
19.0,1,1.85,65.0,2,0,2.0,3.0,0,0,3.0,1,2.0,1.0,2,1,1,18.991964937910883
24.0,1,1.7,85.0,1,1,2.0,3.0,0,0,3.0,1,0.0,1.0,1,3,6,29.411764705882355
23.0,0,1.63,45.0,3,0,3.0,3.0,1,0,3.0,1,2.0,0.0,2,3,0,16.937031879257784
24.0,0,1.6,45.0,3,0,2.0,3.0,0,0,2.0,1,1.0,0.0,3,3,0,17.578124999999996
24.0,0,1.7,80.0,3,1,2.0,3.0,0,0,3.0,1,0.0,0.0,2,3,6,27.68166089965398
23.0,0,1.65,90.0,3,1,2.0,3.0,0,0,3.0,1,0.0,1.0,2,3,2,33.057851239669425
23.0,1,1.65,60.0,2,0,2.0,3.0,0,0,2.0,1,0.0,0.0,2,3,1,22.03856749311295
19.0,0,1.63,58.0,3,0,3.0,3.0,1,0,2.0,0,0.0,0.0,2,3,1,21.829952199932254
30.0,1,1.8,91.0,2,1,2.0,3.0,0,0,2.0,1,0.0,0.0,1,3,6,28.086419753086417
23.0,1,1.67,85.5,3,1,2.0,3.0,0,0,2.0,1,0.0,1.0,0,3,2,30.657248377496504
19.0,0,1.6,45.0,3,0,3.0,3.0,1,0,3.0,0,2.0,0.0,3,4,0,17.578124999999996
25.0,1,1.7,83.0,2,1,2.0,3.0,0,0,2.0,1,0.0,1.0,1,3,6,28.719723183391007
23.0,1,1.65,58.5,3,0,2.0,3.0,0,0,2.0,1,0.0,0.0,2,3,1,21.487603305785125
21.0,1,1.85,83.0,3,1,2.0,1.0,0,0,3.0,1,1.0,0.0,1,3,1,24.251278305332356
19.0,1,1.82,87.0,3,1,2.0,3.0,0,0,2.0,1,0.0,0.0,2,3,5,26.26494384736143
22.0,0,1.65,65.0,3,1,2.0,3.0,1,0,2.0,1,1.0,0.0,1,0,1,23.875114784205696
29.0,0,1.7,78.0,1,1,3.0,3.0,0,0,1.0,1,2.0,1.0,2,0,6,26.989619377162633
25.0,0,1.63,93.0,3,0,3.0,4.0,0,0,1.0,0,2.0,0.0,0,3,3,35.00319921713275
20.0,0,1.61,64.0,1,0,3.0,3.0,1,0,2.0,1,0.0,1.0,0,3,1,24.690405462752206
20.0,0,1.6,57.0,3,0,3.0,3.0,0,0,2.0,0,1.0,0.0,0,4,1,22.265624999999996
24.0,0,1.6,48.0,3,1,3.0,3.0,0,0,2.0,0,2.0,0.0,2,3,1,18.749999999999996
26.0,1,1.7,70.0,1,0,3.0,1.0,0,0,2.0,1,2.0,0.0,1,3,1,24.221453287197235
23.0,0,1.66,60.0,2,0,2.0,3.0,0,0,2.0,1,3.0,0.0,2,3,1,21.773842357381334
21.0,0,1.52,42.0,2,0,3.0,1.0,0,0,1.0,0,0.0,0.0,1,3,0,18.178670360110804
23.0,1,1.72,70.0,1,0,2.0,3.0,0,0,2.0,0,3.0,1.0,2,3,1,23.661438615467823
21.0,0,1.69,63.0,2,1,3.0,1.0,0,0,1.0,0,0.0,0.0,2,3,1,22.058051188683873
22.0,1,1.7,66.4,3,0,2.0,3.0,0,0,2.0,1,0.0,0.0,1,3,1,22.975778546712807
21.0,0,1.55,57.0,2,1,2.0,4.0,1,0,2.0,0,2.0,0.0,1,0,1,23.725286160249738
22.0,0,1.65,58.0,2,1,3.0,4.0,0,0,2.0,1,1.0,0.0,1,3,1,21.30394857667585
25.0,0,1.57,55.0,2,1,2.0,1.0,0,0,2.0,0,2.0,0.0,2,3,1,22.313278429145196
22.0,1,1.88,90.0,2,1,2.0,3.0,0,0,1.0,1,0.0,1.0,0,0,5,25.46401086464464
22.0,1,1.75,95.0,3,0,2.0,3.0,0,0,3.0,1,3.0,2.0,2,4,2,31.020408163265305
21.0,0,1.65,88.0,3,1,3.0,1.0,0,0,3.0,1,2.0,1.0,2,3,2,32.323232323232325
21.0,1,1.75,75.0,2,1,3.0,3.0,0,0,2.0,1,0.0,1.0,2,3,1,24.489795918367346
22.0,0,1.58,58.0,3,1,2.0,1.0,0,0,1.0,1,0.0,0.0,2,3,1,23.233456176894723
18.0,0,1.56,51.0,2,1,2.0,4.0,0,0,2.0,1,1.0,0.0,1,3,1,20.956607495069033
22.0,0,1.5,49.0,3,0,2.0,1.0,0,0,2.0,1,3.0,0.0,2,4,1,21.77777777777778
19.0,0,1.61,62.0,1,1,3.0,1.0,0,0,2.0,1,1.0,0.0,1,3,1,23.9188302920412
17.0,0,1.75,57.0,3,1,3.0,3.0,0,0,2.0,1,0.0,1.0,1,3,1,18.612244897959183
15.0,0,1.65,86.0,3,1,3.0,3.0,0,0,1.0,1,3.0,2.0,2,4,2,31.58861340679523
17.0,0,1.7,85.0,3,0,2.0,3.0,0,0,2.0,1,1.0,1.0,1,3,6,29.411764705882355
23.0,1,1.62,53.0,2,1,2.0,3.0,0,0,2.0,1,1.0,1.0,2,3,1,20.195092211553114
19.0,0,1.63,76.0,2,0,3.0,3.0,0,1,3.0,1,2.0,1.0,1,0,6,28.604764951635367
23.0,0,1.67,75.0,3,1,2.0,3.0,0,1,2.0,1,0.0,2.0,1,4,5,26.89232313815483
23.0,1,1.87,95.0,1,1,1.0,3.0,0,0,2.0,1,0.0,2.0,1,3,6,27.166919271354622
21.0,1,1.75,50.0,3,0,3.0,4.0,0,0,1.0,1,1.0,0.0,1,4,0,16.3265306122449
24.0,1,1.66,67.0,3,1,3.0,1.0,0,0,2.0,1,1.0,0.0,2,3,1,24.31412396574249
23.0,1,1.76,90.0,3,1,3.0,3.0,0,0,1.0,0,0.0,0.0,2,3,6,29.054752066115704
18.0,1,1.75,80.0,1,1,2.0,3.0,0,0,2.0,1,0.0,0.0,0,3,5,26.122448979591837
19.0,1,1.67,68.0,2,1,2.0,3.0,0,0,2.0,0,1.0,0.0,2,3,1,24.38237297859371
19.0,0,1.65,61.0,2,1,3.0,1.0,1,0,3.0,0,1.0,0.0,2,3,1,22.4058769513315
20.0,1,1.72,70.0,2,1,3.0,3.0,0,0,1.0,1,0.0,0.0,1,3,1,23.661438615467823
27.0,1,1.7,78.0,1,1,3.0,3.0,0,0,3.0,0,1.0,1.0,2,3,6,26.989619377162633
20.0,0,1.58,53.0,3,1,2.0,4.0,0,0,2.0,1,1.0,1.0,1,3,1,21.230572023714146
23.0,1,1.62,58.0,3,0,2.0,3.0,0,0,1.0,0,1.0,0.0,2,3,1,22.10028959000152
19.0,0,1.65,56.0,1,1,3.0,3.0,1,1,3.0,1,1.0,2.0,1,3,1,20.569329660238754
30.0,1,1.77,109.0,2,1,3.0,3.0,0,0,1.0,1,2.0,0.0,2,0,2,34.79204570844904
24.0,1,1.7,75.0,2,1,2.0,3.0,0,0,2.0,1,1.0,0.0,2,0,5,25.95155709342561
25.0,1,1.79,72.0,2,1,2.0,3.0,0,0,2.0,1,1.0,1.0,2,3,1,22.47120876377142
31.0,1,1.76,75.0,3,0,3.0,3.0,1,0,3.0,1,3.0,0.0,0,1,1,24.212293388429753
25.0,1,1.7,68.0,3,1,2.0,3.0,0,0,2.0,0,0.0,1.0,1,3,1,23.529411764705884
23.0,1,1.89,65.0,2,1,3.0,3.0,0,0,3.0,1,1.0,1.0,1,3,0,18.19657904313989
25.0,1,1.87,66.0,1,1,3.0,3.0,0,0,2.0,0,2.0,0.0,0,3,1,18.873859704309528
23.0,1,1.74,93.5,1,1,2.0,3.0,0,1,1.0,0,1.0,1.0,1,0,2,30.88254723213106
34.0,0,1.68,75.0,2,1,3.0,1.0,0,0,1.0,0,0.0,0.0,2,0,5,26.573129251700685
22.0,1,1.61,67.0,2,0,2.0,4.0,1,0,3.0,1,2.0,2.0,2,3,5,25.847768218818715
21.0,1,1.62,70.0,2,1,2.0,1.0,0,0,3.0,0,1.0,0.0,3,3,5,26.672763298277697
24.0,0,1.56,51.0,1,0,3.0,3.0,0,0,2.0,0,2.0,2.0,1,3,1,20.956607495069033
27.0,0,1.6,61.0,2,1,3.0,3.0,0,0,2.0,0,0.0,0.0,0,0,1,23.828124999999996
32.0,0,1.67,90.0,2,1,3.0,1.0,0,0,2.0,1,2.0,0.0,2,0,2,32.2707877657858
25.0,1,1.78,78.0,2,1,2.0,1.0,0,0,2.0,1,2.0,1.0,2,3,1,24.61810377477591
30.0,0,1.62,59.0,2,1,3.0,3.0,0,0,2.0,1,2.0,0.0,2,0,1,22.481329065691202
34.0,1,1.69,84.0,3,0,2.0,3.0,0,0,3.0,1,2.0,0.0,2,0,6,29.410734918245165
22.0,1,1.74,94.0,2,1,2.0,3.0,0,0,2.0,1,0.0,0.0,2,3,2,31.04769454353283
31.0,0,1.68,63.0,2,1,3.0,1.0,0,0,2.0,1,1.0,1.0,1,0,1,22.321428571428577
35.0,0,1.53,45.0,3,0,3.0,3.0,0,0,1.0,1,0.0,1.0,1,0,1,19.223375624759708
21.0,1,1.67,60.0,2,1,2.0,3.0,0,0,2.0,1,2.0,1.0,1,3,1,21.513858510523864
27.0,1,1.64,78.0,1,1,2.0,1.0,0,0,2.0,1,0.0,0.0,2,0,6,29.000594883997625
20.0,1,1.83,72.0,2,0,3.0,3.0,0,1,1.0,1,2.0,1.0,2,3,1,21.49959688255845
21.0,0,1.63,60.0,2,1,3.0,3.0,0,1,2.0,1,2.0,0.0,0,3,1,22.582709172343712
25.0,1,1.89,75.0,3,0,3.0,3.0,1,0,2.0,0,3.0,0.0,1,3,1,20.99605274208449
35.0,1,1.77,85.0,2,0,3.0,3.0,0,0,3.0,1,2.0,1.0,1,0,6,27.13141179099237
30.0,1,1.92,130.0,2,0,2.0,3.0,0,1,1.0,1,1.0,0.0,2,3,3,35.26475694444444
29.0,0,1.74,72.0,2,0,3.0,3.0,0,0,2.0,1,0.0,0.0,0,0,1,23.781212841854934
20.0,1,1.65,80.0,3,0,2.0,3.0,0,0,2.0,1,1.0,2.0,2,4,6,29.384756657483933
22.0,0,1.73,79.0,2,1,2.0,1.0,0,0,2.0,1,1.0,0.0,2,3,5,26.395803401383272
22.0,1,1.72,82.0,2,1,2.0,1.0,0,0,2.0,0,2.0,1.0,2,3,6,27.717685235262305
18.0,1,1.6,58.0,2,1,2.0,3.0,0,0,2.0,1,1.0,0.0,1,3,1,22.656249999999996
23.0,0,1.65,59.0,2,0,3.0,1.0,0,0,2.0,0,1.0,2.0,2,3,1,21.6712580348944
18.0,1,1.74,64.0,3,0,3.0,3.0,1,0,2.0,0,0.0,1.0,2,3,1,21.13885585942661
18.0,0,1.57,48.0,3,1,3.0,1.0,0,0,1.0,1,1.0,0.0,0,3,1,19.473406629072173
22.0,1,1.84,84.0,2,1,3.0,3.0,1,0,2.0,1,3.0,0.0,1,3,1,24.8109640831758
26.0,1,1.91,84.0,1,1,3.0,3.0,0,1,2.0,1,2.0,2.0,1,3,1,23.025684602944
18.0,0,1.58,48.0,3,1,2.0,3.0,0,0,2.0,0,1.0,0.0,2,3,1,19.227687870533565
23.0,0,1.68,67.0,2,1,2.0,3.0,0,0,1.0,1,0.0,0.0,1,3,1,23.738662131519277
22.0,0,1.68,52.0,3,1,3.0,3.0,0,0,2.0,0,0.0,1.0,1,3,0,18.42403628117914
23.0,0,1.48,60.0,2,1,2.0,1.0,0,1,1.0,1,0.0,0.0,2,3,6,27.39225712198685
31.0,0,1.62,68.0,2,0,3.0,3.0,0,0,2.0,0,1.0,0.0,2,0,5,25.910684346898332
25.0,1,1.78,98.0,3,0,2.0,3.0,0,0,3.0,1,3.0,2.0,2,3,2,30.930438076000502
35.0,1,1.78,105.0,1,1,3.0,1.0,0,0,3.0,1,3.0,1.0,3,0,2,33.13975508142911
33.0,0,1.63,62.0,3,1,2.0,3.0,0,0,2.0,1,1.0,1.0,2,3,1,23.335466144755166
20.0,1,1.6,56.0,2,1,2.0,3.0,0,0,2.0,0,1.0,0.0,2,3,1,21.874999999999996
26.0,1,1.75,80.0,2,1,3.0,1.0,1,1,2.0,1,2.0,0.0,1,3,5,26.122448979591837
20.0,1,1.83,85.0,2,0,3.0,3.0,1,0,3.0,1,3.0,0.0,2,0,5,25.381468541909282
20.0,1,1.78,68.0,3,0,2.0,1.0,1,0,3.0,0,2.0,1.0,1,3,1,21.461936624163616
23.0,0,1.6,83.0,3,1,3.0,3.0,0,0,3.0,1,3.0,0.0,1,3,2,32.42187499999999
19.0,1,1.8,85.0,2,1,3.0,3.0,0,0,2.0,1,1.0,1.0,2,4,5,26.234567901234566
22.0,1,1.75,74.0,2,0,2.0,3.0,0,0,2.0,1,1.0,2.0,2,1,1,24.163265306122447
18.0,0,1.59,40.0,3,1,2.0,1.0,0,0,1.0,1,0.0,2.0,1,3,0,15.822158933586486
23.0,0,1.66,60.0,2,1,2.0,1.0,0,0,1.0,1,1.0,1.0,2,3,1,21.773842357381334
23.0,0,1.63,83.0,2,0,3.0,1.0,0,1,3.0,1,1.0,2.0,2,3,2,31.239414355075468
26.0,0,1.56,102.0,2,1,3.0,3.0,0,1,1.0,1,0.0,1.0,2,3,4,41.913214990138066
29.0,1,1.69,90.0,2,0,2.0,3.0,0,0,3.0,1,1.0,0.0,2,0,2,31.51150169811982
27.0,1,1.83,71.0,3,1,2.0,3.0,0,0,2.0,1,3.0,2.0,2,0,1,21.20099137030069
23.0,0,1.6,78.0,1,1,2.0,1.0,0,1,2.0,1,1.0,0.0,2,3,2,30.468749999999993
19.0,1,1.75,100.0,3,1,2.0,3.0,0,0,2.0,1,2.0,0.0,1,3,2,32.6530612244898
30.0,1,1.75,73.0,2,0,2.0,3.0,1,0,2.0,1,1.0,0.0,3,4,1,23.836734693877553
22.0,0,1.69,65.0,2,1,2.0,3.0,0,0,2.0,1,1.0,1.0,2,3,1,22.758306781975424
20.0,1,1.8,114.0,3,1,2.0,3.0,0,0,2.0,1,0.0,1.0,1,3,3,35.18518518518518
21.0,0,1.63,51.0,3,1,2.0,1.0,0,0,1.0,0,1.0,1.0,2,3,1,19.195302796492154
24.0,0,1.5,63.0,3,0,2.0,1.0,0,0,2.0,1,0.0,0.0,2,3,6,28.0
21.0,1,1.8,62.0,3,1,3.0,3.0,0,0,2.0,1,1.0,0.0,2,3,1,19.1358024691358
21.0,1,1.65,53.0,2,1,2.0,3.0,0,0,2.0,1,1.0,0.0,2,3,1,19.467401285583104
21.0,1,1.68,70.0,2,1,3.0,3.0,0,0,3.0,1,0.0,2.0,2,3,1,24.801587301587304
23.0,0,1.6,63.0,2,0,3.0,3.0,0,0,2.0,1,3.0,0.0,1,4,1,24.609374999999996
21.0,1,1.71,75.0,1,0,2.0,3.0,1,0,3.0,0,3.0,1.0,1,0,5,25.64891761567662
21.0,0,1.5,42.3,3,0,1.0,1.0,0,0,2.0,1,3.0,0.0,2,3,1,18.799999999999997
21.0,0,1.6,68.0,2,1,2.0,3.0,0,0,3.0,1,1.0,0.0,2,3,5,26.562499999999996
21.0,0,1.75,78.0,1,0,2.0,3.0,1,0,2.0,1,0.0,2.0,1,3,5,25.46938775510204
23.0,1,1.72,82.0,2,1,2.0,1.0,0,0,1.0,1,1.0,1.0,2,3,6,27.717685235262305
21.0,0,1.72,66.5,3,1,3.0,4.0,0,0,3.0,1,0.0,2.0,0,3,1,22.478366684694432
22.0,0,1.61,63.0,3,1,3.0,3.0,0,0,3.0,1,1.0,0.0,1,3,1,24.3046178773967
23.0,0,1.63,82.0,3,1,2.0,1.0,0,0,2.0,1,0.0,0.0,2,3,2,30.863035868869737
25.0,1,1.83,121.0,2,0,3.0,3.0,0,0,3.0,1,2.0,0.0,2,4,3,36.1312669831885
20.0,0,1.6,50.0,3,1,2.0,3.0,0,0,1.0,0,0.0,1.0,2,0,1,19.531249999999996
24.0,0,1.62,58.0,2,1,3.0,3.0,0,0,2.0,0,1.0,1.0,2,3,1,22.10028959000152
32.0,1,1.75,120.0,3,0,3.0,3.0,0,0,3.0,1,0.0,2.0,2,0,3,39.183673469387756
20.0,1,1.9,91.0,2,1,3.0,4.0,0,0,3.0,1,2.0,0.0,2,4,5,25.207756232686982
21.0,0,1.63,66.0,2,1,3.0,1.0,0,1,3.0,1,0.0,0.0,2,3,1,24.840980089578082
34.0,0,1.68,77.0,2,0,3.0,1.0,0,0,2.0,1,1.0,0.0,2,0,6,27.281746031746035
19.0,0,1.59,49.0,3,1,2.0,1.0,0,0,2.0,1,2.0,0.0,3,3,1,19.382144693643447
19.0,0,1.69,70.0,3,0,2.0,1.0,0,0,2.0,1,2.0,0.0,3,3,1,24.508945765204302
21.0,0,1.66,59.0,3,1,1.0,3.0,1,0,2.0,0,3.0,0.0,0,0,1,21.410944984758313
19.0,0,1.64,53.0,3,1,3.0,3.0,0,0,1.0,1,1.0,1.0,2,3,1,19.705532421177875
20.0,0,1.62,53.0,3,1,3.0,1.0,0,0,3.0,0,1.0,1.0,2,3,1,20.195092211553114
19.0,0,1.7,64.0,3,1,3.0,3.0,1,0,3.0,1,3.0,1.0,3,3,1,22.145328719723185
17.0,0,1.63,65.0,3,1,2.0,1.0,0,0,3.0,0,1.0,1.0,2,3,1,24.46460160337235
22.0,1,1.6,66.0,3,1,3.0,3.0,0,0,2.0,0,3.0,0.0,2,1,5,25.781249999999996
20.0,0,1.63,64.0,3,1,1.0,3.0,0,0,2.0,1,0.0,2.0,0,0,1,24.088223117166624
33.0,1,1.85,99.0,2,1,2.0,3.0,0,1,3.0,1,1.0,0.0,2,0,6,28.926223520818112
21.0,0,1.54,49.0,2,0,2.0,1.0,1,0,2.0,1,2.0,0.0,2,3,1,20.66115702479339
20.0,0,1.64,49.0,2,0,3.0,3.0,0,1,2.0,0,2.0,1.0,2,0,0,18.218322427126715
20.0,0,1.57,60.0,2,1,3.0,3.0,0,0,3.0,0,0.0,1.0,2,3,1,24.341758286340216
20.0,0,1.62,52.0,3,1,3.0,3.0,0,0,1.0,0,3.0,1.0,1,0,1,19.81405273586343
21.0,1,1.72,72.0,2,1,3.0,3.0,1,0,3.0,1,3.0,0.0,0,0,1,24.337479718766904
21.0,1,1.76,78.0,2,1,3.0,1.0,0,0,2.0,1,3.0,0.0,2,4,5,25.180785123966942
20.0,0,1.65,75.0,3,1,3.0,1.0,0,0,2.0,1,1.0,1.0,2,3,6,27.548209366391188
20.0,1,1.67,78.0,1,0,2.0,1.0,0,0,3.0,1,0.0,0.0,2,0,6,27.968016063681024
26.0,0,1.59,47.0,2,1,2.0,1.0,0,0,2.0,1,0.0,2.0,2,3,1,18.59103674696412
22.0,0,1.64,56.0,3,0,3.0,3.0,0,0,2.0,1,0.0,0.0,2,3,1,20.820939916716245
19.0,1,1.78,81.0,3,0,1.0,3.0,0,0,2.0,1,3.0,0.0,2,1,5,25.5649539199596
18.0,1,1.75,85.0,2,0,2.0,3.0,0,0,3.0,1,1.0,0.0,2,3,6,27.755102040816325
19.0,1,1.85,115.0,3,0,2.0,3.0,1,0,3.0,0,1.0,2.0,2,3,2,33.60116873630387
18.0,1,1.7,80.0,3,0,3.0,1.0,0,0,1.0,0,1.0,0.0,2,3,6,27.68166089965398
18.0,0,1.67,91.0,2,1,1.0,3.0,0,0,1.0,1,0.0,1.0,1,3,2,32.62935207429452
21.0,1,1.72,75.0,3,1,2.0,3.0,0,0,1.0,0,1.0,0.0,2,3,5,25.351541373715524
28.0,0,1.7,73.0,2,0,2.0,3.0,1,0,2.0,1,2.0,0.0,1,4,5,25.25951557093426
18.0,1,1.74,70.0,2,1,2.0,3.0,0,0,2.0,0,1.0,1.0,2,3,1,23.120623596247853
